year,player,games_played,mpg,true_shot,per,value_added,wins_added
2024,PLAYER,GP,MPG,TS%,PER,VA,EWA
2024,Nikola Jokic,70,36.7,0.663,32.12,825.6,27.5
2024,Shai Gilgeous-Alexander,76,34.2,0.637,30.73,0,0
2024,Giannis Antetokounmpo,67,34.2,0.625,30.57,0,0
2024,Zion Williamson,30,28.6,0.6,27.43,0,0
2024,Anthony Davis,51,33.4,0.588,26.33,0,0
2024,Daniel Gafford,57,21.5,0.716,24.78,259.5,8.7
2024,Victor Wembanyama,46,33.2,0.594,24.24,0,0
2024,Luka Doncic,50,35.4,0.587,24.11,0,0
2024,Mark Williams,44,26.6,0.647,23.93,232.9,7.8
2024,Karl-Anthony Towns,72,35,0.63,23.48,0,0
2024,Joel Embiid,19,30.2,0.58,23.41,109.8,3.7
2024,Domantas Sabonis,70,34.7,0.655,22.99,0,0
2024,LeBron James,70,34.9,0.604,22.81,0,0
2024,Jimmy Butler III,55,31.7,0.626,22.48,0,0
2024,Ivica Zubac,80,32.8,0.641,22.38,461.3,15.4
2024,Kristaps Porzingis,42,28.8,0.618,22.38,209.1,7
2024,Moritz Wagner,30,18.8,0.649,22.34,0,0
2024,Evan Mobley,71,30.5,0.633,22.32,0,0
2024,Jarrett Allen,82,28,0.724,22.1,394,13.1
2024,Tyrese Haliburton,73,33.6,0.616,21.84,0,0
2024,Jayson Tatum,72,36.4,0.582,21.77,0,0
2024,Jalen Brunson,65,35.4,0.605,21.66,0,0
2024,Stephen Curry,70,32.2,0.618,21.61,0,0
2024,Jalen Duren,78,26.1,0.703,21.48,330.2,11
2024,Alperen Sengun,76,31.5,0.545,21.47,388.5,13
2024,Damian Lillard,58,36.1,0.621,21.35,0,0
2024,Kevin Durant,62,36.5,0.642,21.24,0,0
2024,Ty Jerome,70,19.9,0.643,21.05,0,0
2024,Donovan Mitchell,71,31.4,0.575,20.93,0,0
2024,Jonas Valanciunas,81,18.8,0.602,20.83,232.7,7.8
2024,Cade Cunningham,70,35,0.565,20.66,0,0
2024,Kawhi Leonard,37,31.9,0.589,20.53,0,0
2024,Jalen Williams,69,32.4,0.573,20.34,318.5,10.6
2024,Nikola Vucevic,73,31.2,0.611,20.33,330.9,11
2024,Franz Wagner,60,33.7,0.558,20.21,0,0
2024,Anthony Edwards,79,36.3,0.595,20.16,0,0
2024,Paolo Banchero,46,34.4,0.551,20.11,0,0
2024,Jakob Poeltl,57,29.6,0.641,20.07,233.4,7.8
2024,Dereck Lively II,36,23.1,0.704,20.07,117.7,3.9
2024,Walker Kessler,58,30,0.66,20.05,245.4,8.2
2024,James Harden,79,35.3,0.582,20,0,0
2024,Darius Garland,75,30.7,0.6,19.98,0,0
2024,Kyrie Irving,50,36.1,0.594,19.92,0,0
2024,Richaun Holmes,31,17.2,0.695,19.86,72.2,2.4
2024,Day'Ron Sharpe,50,18.1,0.568,19.78,124.3,4.1
2024,Tyler Herro,77,35.4,0.605,19.73,0,0
2024,Sandro Mamukelashvili,61,11.2,0.628,19.69,0,0
2024,Jaren Jackson Jr.,74,29.8,0.591,19.68,0,0
2024,Luke Kornet,73,18.6,0.683,19.64,179.5,6
2024,Tyrese Maxey,52,37.7,0.562,19.58,0,0
2024,Ja Morant,50,30.4,0.563,19.41,0,0
2024,Devin Booker,75,37.3,0.589,19.37,0,0
2024,Pascal Siakam,78,32.7,0.599,19.27,0,0
2024,Chet Holmgren,32,27.4,0.599,19.23,0,0
2024,LaMelo Ball,47,32,0.536,19.21,0,0
2024,Goga Bitadze,70,20.4,0.631,19.2,183.4,6.1
2024,Onyeka Okongwu,74,27.9,0.634,19.06,0,0
2024,John Collins,40,30.5,0.628,19.01,0,0
2024,Bam Adebayo,78,34.3,0.561,18.94,332.8,11.1
2024,Isaiah Hartenstein,57,27.9,0.599,18.87,191.5,6.4
2024,Chris Boucher,50,17.2,0.615,18.73,0,0
2024,Jalen Smith,64,15,0.586,18.72,0,0
2024,Amen Thompson,69,32.2,0.602,18.71,262.6,8.8
2024,Trayce Jackson-Davis,62,15.6,0.587,18.55,111.8,3.7
